ref_no,authors_short,title,journal,year,volume,issue,pages,doi,pmid,pmcid,oa_status,license,role_in_project,fulltext_obtained
1,Carpentier A,Cardiac valve surgery—the “French correction”,J Thorac Cardiovasc Surg,1983,86,3,323-337,10.1016/s0022-5223(19)39144-5,6887954,,closed,-,僧帽弁機能分類の原典（歴史章）,no（歴史記述は二次資料で代替）
2,Sarsam MA / Yacoub M,Remodeling of the aortic valve anulus,J Thorac Cardiovasc Surg,1993,105,3,435-438,10.1016/s0022-5223(19)34225-4,8445922,,closed,-,Yacoub remodelling原典,no（二次資料de Paulis 2025で代替）
3,David TE / Feindel CM,An aortic valve-sparing operation for patients with aortic incompetence and aneurysm of the ascending aorta,J Thorac Cardiovasc Surg,1992,103,4,617-621（disc 622）,10.1016/s0022-5223(19)34942-6,1532219,,closed,-,David reimplantation原典,no（二次資料で代替）
4,El-Hamamsy I et al,"The Ross procedure: clinical relevance, guidelines recognition, and centers of excellence",J Am Coll Cardiol,2022,79,10,1006-1009,10.1016/j.jacc.2022.01.006,35272795,,closed,-,Ross復権のeditorial,abstract
5,Sarikouch S et al,20-Year experience with decellularized pulmonary homografts for pulmonary valve replacement,Eur J Cardiothorac Surg,2026,68,2,ezag087,10.1093/ejcts/ezag087,41652890,PMC13017825,OA,cc-by-nc,第6章の中核（living valve最長追跡）,fulltext
6,Horke A et al,"Five-year results from a prospective, single-arm European trial on decellularized allografts for aortic valve replacement—ARISE study and registry",Eur J Cardiothorac Surg,2024,65,4,ezae121,10.1093/ejcts/ezae121,38532304,PMC11009017,OA,cc-by,脱細胞化大動脈弁の前向き試験,fulltext
7,"Modi P, Hassan A, Chitwood WR Jr",Minimally invasive mitral valve surgery: a systematic review and meta-analysis,Eur J Cardiothorac Surg,2008,34,5,943-952,10.1016/j.ejcts.2008.07.057,18829343,,closed,-,MIMVSの根拠（2008＝古い→P2で更新）,abstract
8,Mihaljevic T et al,Robotic repair of posterior mitral valve prolapse versus conventional approaches: potential realized,J Thorac Cardiovasc Surg,2011,141,1,72-80.e1-4,10.1016/j.jtcvs.2010.09.008,21093881,,free-to-read,-,ロボット僧帽弁（2011＝古い→P2で更新）,abstract
9,Heinisch PP et al,Vertical right axillary mini-thoracotomy for correction of ventricular septal defects and complete atrioventricular septal defects,Ann Thorac Surg,2018,106,4,1220-1227,10.1016/j.athoracsur.2018.05.003,29859151,,free-to-read,-,小児低侵襲,abstract
10,Dodge-Khatami A et al,Over 3,000 minimally invasive thoracotomies from the ECHSA for quality repairs of the most common congenital heart defects,World J Pediatr Congenit Heart Surg,2025,16,5,578-584,10.1177/21501351251322155,40130503,PMC12369979,OA,cc-by,小児低侵襲・大規模,fulltext
11,Wilbring M et al,The transaxillary concept for minimally invasive isolated aortic valve replacement: results of 1000 consecutive patients,Eur J Cardiothorac Surg,2024,66,6,ezae427,10.1093/ejcts/ezae427,39602603,,closed,-,第2章 経腋窩AVR,fulltext（Playwright）
12,"Arabkhani B, Klautz RJM, de Heer F et al",A multicentre propensity score matched analysis comparing a valve-sparing approach to valve replacement in aortic root aneurysm: insight from the AVIATOR database,Eur J Cardiothorac Surg,2023,63,2,ezac514,10.1093/ejcts/ezac514,36308450,PMC9942544,OA,cc-by-nc,第3章 VSARR中核比較,fulltext
13,De Paulis R et al,The Valsalva graft in aortic valve repair and replacement,Multimed Man Cardiothorac Surg,2005,2005,1129,mmcts.2004.000992,10.1510/mmcts.2004.000992,,,closed,-,器具①（Valsalva graft）,no（後継のezag081/ezac591で代替）
14,"Schäfers HJ, Bierbach B, Aicher D",A new approach to the assessment of aortic cusp geometry,J Thorac Cardiovasc Surg,2006,132,2,436-438,10.1016/j.jtcvs.2006.04.032,16872982,,free-to-read,-,器具②（geometric caliper）,abstract
15,Lansac E et al,An aortic ring: from physiologic reconstruction of the root to a standardized approach for aortic valve repair,J Thorac Cardiovasc Surg,2010,140,6 Suppl,S28-S35（disc S45-51）,10.1016/j.jtcvs.2010.08.004,21092793,,free-to-read,-,器具③（外部リング）→CAVIAAR/RCTへ,abstract
16,El Khoury G et al,Functional classification of aortic root/valve abnormalities and their correlation with etiologies and surgical procedures,Curr Opin Cardiol,2005,20,2,115-121,10.1097/01.hco.0000153951.31887.a6,15711197,,closed,-,AV機能分類の原典,abstract
