subtopic,importance,media,year,journal,title,authors,vol,issue,page,doi,pmid,open_access,verify,key_features
general_overview_review,4,figure_rich,2016,Operative Techniques in Thoracic and Cardiovascular Surgery,Off-Pump Coronary Artery Bypass Grafting,"Yanagawa B, Puskas JD",21,1,2-19,10.1053/j.optechstcvs.2016.10.003,,,match,off-pump CABG; exposure; stabilization; anastomosis
general_overview_review,4,figure_rich,2010,Operative Techniques in Thoracic and Cardiovascular Surgery,Less Invasive Approaches to Coronary Artery Bypass Grafting: Off-Pump Coronary Artery Bypass,"Myung RJ, Halkos ME, Puskas JD",15,3,186-193,10.1053/j.optechstcvs.2010.08.005,,,match,off-pump CABG; less invasive; operative technique
general_overview_review,4,figure_rich,2006,Operative Techniques in Thoracic and Cardiovascular Surgery,Off-Pump Coronary Revascularization: Operative Technique,Sabik JF,11,2,90-104,10.1053/j.optechstcvs.2006.06.002,,,match,off-pump CABG; operative technique; exposure; stabilization
general_overview_review,3,standard,2021,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Review of Contemporary Techniques for Minimally Invasive Coronary Revascularization,"Fatehi Hassanabad A, Kang J, Maitland A, Adams C et al",16,3,231-243,10.1177/15569845211010767,34081874,yes,match,MICS-CABG; TECAB; hybrid revascularization; review
general_overview_review,3,standard,2012,Vestnik khirurgii imeni I. I. Grekova,Specific features of the technique of performing coronary bypass operations on the beating heart.,"Volkov AM, Khubulava GG, Paĭvin AA, Iurchenko DL, Kravchuk VN, Liubimov AI.",171,2,11-6,,22774542,,no-doi,beating heart CABG; vacuum stabilizer; proximal-first; thoracic epidural; intracoronary shunt
general_overview_review,3,standard,2005,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Evolution of Off-Pump Coronary Artery Bypass Grafting over 15 Years,"Mishra YK, Mishra M, Malhotra R, Meharwal ZS et al",1,2,88-91,10.1177/155698450500100206,,,match,OPCAB evolution; exposure and stabilization; learning curve; multivessel
anaortic_total_arterial,5,figure_rich,2026,JTCVS Techniques,Complex composite conduits for anaortic off-pump coronary artery bypass grafting: Lambda and pi grafts,"Hynes CF, Puskas JD",36,,102269,10.1016/j.xjtc.2026.102269,41971856,yes,match,anaortic; all-arterial; lambda graft; pi graft; composite conduit; clampless proximal
anaortic_total_arterial,5,figure_rich,2026,Operative Techniques in Thoracic and Cardiovascular Surgery,All-arterial anaortic off-pump coronary bypass technique,"Hynes CF, Kalra K, Puskas JD",,,,10.1053/j.optechstcvs.2026.05.001,,,match,anaortic; total arterial; off-pump; clampless
anaortic_total_arterial,5,video,2025,Multimedia Manual of Cardio-Thoracic Surgery,Anaortic total arterial minimally invasive coronary artery bypass grafting: The Leipzig technique,,2025,,,10.1510/mmcts.2025.001,39912255,,match,anaortic; total arterial; MICS-CABG; BITA; Leipzig technique
anaortic_total_arterial,5,video,2025,Multimedia Manual of Cardio-Thoracic Surgery,"Total arterial, anaortic, off-pump coronary artery bypass grafting",,2025,,,10.1510/mmcts.2025.048,40583699,,match,total arterial; anaortic; off-pump; composite graft; skeletonized ITA
