n	chapter	title	pmid	journal	year	doi	pmcid
1	A. 総論・エキスパートコンセンサス・プログラム構築	The Society of Thoracic Surgeons Expert Consensus Pathway for Robotic Cardiac Surgical Training	41619927	Ann Thorac Surg	2026	10.1016/j.athoracsur.2026.01.003	
2	A. 総論・エキスパートコンセンサス・プログラム構築	Current state of the art and recommendations in robotic mitral valve surgery	35748726	Interact Cardiovasc Thorac Surg	2022	10.1093/icvts/ivac160	PMC9724768
3	A. 総論・エキスパートコンセンサス・プログラム構築	How to implement a clinical robotic mitral valve surgery program	36237591	Ann Cardiothorac Surg	2022	10.21037/acs-2022-rmvs-14	PMC9551378
4	A. 総論・エキスパートコンセンサス・プログラム構築	Developing Proficiency in Robotic Cardiac Surgery	39209092	Ann Thorac Surg	2025	10.1016/j.athoracsur.2024.07.049	
5	B. ポート配置・体位・展開・術前CT計画	Robotic mitral valve repair: patient positioning and port placement in male patients	40900082	Multimed Man Cardiothorac Surg	2025	10.1510/mmcts.2025.096	
6	B. ポート配置・体位・展開・術前CT計画	Robotic mitral valve repair: patient positioning and port placement in female patients	40900091	Multimed Man Cardiothorac Surg	2025	10.1510/mmcts.2025.097	
7	B. ポート配置・体位・展開・術前CT計画	Different styles in trocar placement in robotic-assisted beating heart coronary artery bypass grafting	39434974	Ann Cardiothorac Surg	2024	10.21037/acs-2023-rcabg-0209	PMC11491174
8	B. ポート配置・体位・展開・術前CT計画	Computed Tomography in Preoperative Planning of Minimally Invasive Valvular Heart Surgery: A Systematic Review of Mixed Evidence and Clinical Application	41904670	Eur J Cardiothorac Surg	2026	10.1093/ejcts/ezag101	
9	B. ポート配置・体位・展開・術前CT計画	Patient selection in robotic mitral valve surgery	41669182	Ann Cardiothorac Surg	2026	10.21037/acs-2025-dmv-0114	PMC12884179
10	B. ポート配置・体位・展開・術前CT計画	Robotic mitral valve surgery in the very thin patient: Tips and tricks	39991302	JTCVS Tech	2025	10.1016/j.xjtc.2024.10.001	PMC11845388
11	B. ポート配置・体位・展開・術前CT計画	Osteophyte of the first costochondral joint is a reliable landmark to facilitate standardized robotic left internal mammary artery harvesting	39991316	JTCVS Tech	2025	10.1016/j.xjtc.2024.11.004	PMC11845373
12	C. 訓練・シミュレーション・ラーニングカーブ	Simulation Training in Video-Assisted and Robotic-Assisted Cardiac Surgery: A Narrative Review	42188066	J Cardiovasc Dev Dis	2026	10.3390/jcdd13050180	PMC13207657
13	C. 訓練・シミュレーション・ラーニングカーブ	Examining the learning curves in robotic cardiac surgery wet lab simulation training	39786456	Interdiscip Cardiovasc Thorac Surg	2024	10.1093/icvts/ivae227	PMC11723529
14	C. 訓練・シミュレーション・ラーニングカーブ	Inexpensive and Easy to Set Up Robotic Cardiac Simulator Offers "Unlimited" Endoscopic Coronary Artery Bypass Grafting Experience: Proof of Concept	37753828	Innovations (Phila)	2023	10.1177/15569845231199997	
15	C. 訓練・シミュレーション・ラーニングカーブ	Development and Validation of a Low-Cost, High-Fidelity Simulation Model for Robotic Internal Mammary Artery Harvest Using the da Vinci Xi Robot	39473044	Innovations (Phila)	2024	10.1177/15569845241286012	
16	C. 訓練・シミュレーション・ラーニングカーブ	Suturing map for endoscopic mitral valve repair developed on high-fidelity endoscopic simulator	30192451	Multimed Man Cardiothorac Surg	2018	10.1510/mmcts.2018.038	
17	C. 訓練・シミュレーション・ラーニングカーブ	Defining the Learning Curve in Minimally Invasive Cardiac Surgery: A Systematic Review and Meta-Analysis	40886757	Ann Thorac Surg	2026	10.1016/j.athoracsur.2025.08.013	
18	D. 僧帽弁形成（MV repair）	Robotic mitral valve repair: The steps to success	38152222	JTCVS Tech	2023	10.1016/j.xjtc.2023.08.023	PMC10750819
19	D. 僧帽弁形成（MV repair）	Tricks and tips to facilitate robotic approach for mitral valve repair	38152209	JTCVS Tech	2023	10.1016/j.xjtc.2023.09.020	PMC10750885
20	D. 僧帽弁形成（MV repair）	Complications and their management in robotic mitral valve surgery from the surgical assistant's perspective	36237594	Ann Cardiothorac Surg	2022	10.21037/acs-2022-rmvs-15	PMC9551371
21	D. 僧帽弁形成（MV repair）	Safeguards and pitfalls in minimally invasive mitral valve surgery	24349995	Ann Cardiothorac Surg	2013	10.3978/j.issn.2225-319X.2013.07.26	PMC3857050
22	D. 僧帽弁形成（MV repair）	Tackling MAC and other complex mitral valve repair scenarios through the lens of robotics	41669170	Ann Cardiothorac Surg	2026	10.21037/acs-2025-dmv-0164	PMC12884175
23	D. 僧帽弁形成（MV repair）	Two decades of experience with robotic mitral valve repair: What have we learned?	38835581	JTCVS Tech	2024	10.1016/j.xjtc.2024.01.014	PMC11145349
24	D. 僧帽弁形成（MV repair）	Robotic mitral valve repair: quadrangular resection and bidirectional sliding valvuloplasty	41114561	Multimed Man Cardiothorac Surg	2025	10.1510/mmcts.2025.114	
25	D. 僧帽弁形成（MV repair）	Robotic mitral annuloplasty using a semi-continuous three-suture technique with a flexible band	40931770	Multimed Man Cardiothorac Surg	2025	10.1510/mmcts.2025.099	
26	D. 僧帽弁形成（MV repair）	Subvalvular techniques enhanced with endoscopic robotic mitral valve repair	38152165	JTCVS Tech	2023	10.1016/j.xjtc.2023.08.019	PMC10750495
27	D. 僧帽弁形成（MV repair）	Circumflex Coronary Artery Injury during Modern Mitral Valve Surgery-A Review of Current Concepts and Perspectives	37629762	Medicina (Kaunas)	2023	10.3390/medicina59081470	PMC10456639
28	D. 僧帽弁形成（MV repair）	Control of Port Site Bleeding With Liberal Use of Catheter Balloon Tamponade in Robotic Mitral Valve Surgery	40913323	Innovations (Phila)	2025	10.1177/15569845251365733	
29	E. 大動脈弁（AVR）	Lateral access fully robotic aortic valve replacement "RAVR": from novel to normal	40547427	Ann Cardiothorac Surg	2025	10.21037/acs-2025-ravr-0049	PMC12177761
